name,price(USD),rating,image,price(NGN)
2024 SONOMA OSX - 2020 MACBOOK PRO 13 - 2.0GHz i5 - 16GB - 512GB SSD - GRAY,579.99,98.7,https://i.ebayimg.com/thumbs/images/g/mosAAOSww9lmYKPl/s-l500.jpg,863025
Apple 2020 MacBook Pro 13 in 2.0GHz Quad-Core i5 16GB RAM 512GB SSD - Very good,549.99,100,https://i.ebayimg.com/thumbs/images/g/4R4AAOSwzJRl6OAL/s-l500.jpg,818385
"Apple Macbook Pro 2016 15"""" Touch Bar + Intel 2.6GHz Core i7 QWERTZ",301.01,100,https://i.ebayimg.com/thumbs/images/g/ubcAAOSwkthmN4Rb/s-l140.jpg,447903
"New ListingApple MacBook Pro 13.3""  SSD, M2, 8GB) Laptop - Space Gray",680.0,0,https://i.ebayimg.com/thumbs/images/g/bJgAAOSw33tmdvsg/s-l140.jpg,1011840
"Apple Macbook Pro Mid 2018 Touchbar 13"" A1989 I5 2.3GHz 16GBb 512GB MR9Q2LL/A",379.0,99.4,https://i.ebayimg.com/thumbs/images/g/N-IAAOSw-GlmBsuq/s-l140.jpg,563952
"SONOMA 2019/2020 Apple MacBook Pro 13"" Quad Core 4.1GHz 256GB SSD",550.0,99.3,https://i.ebayimg.com/thumbs/images/g/Ni4AAOSwVO1metxn/s-l140.jpg,818400
2022 OSX VENTURA 2017 MACBOOK PRO 13 - 2.5GHz i7 - 16GB RAM - 512GB SSD - GRAY,439.99,98.7,https://i.ebayimg.com/thumbs/images/g/PwAAAOSw4qdmYJq~/s-l140.jpg,654705
"New Listing2020 Korean Apple MacBook Pro 13.3"" MYD92LL/A w/M1 3.2GHz/8GB/512GB - Good",27.0,98.5,https://i.ebayimg.com/thumbs/images/g/HSMAAOSwPVRmazJR/s-l140.jpg,40176
Apple A2251 MacBook Pro 13 Inch 2.3 GHz Core i7 16GB RAM 500GB 2020 Touch Bar,549.99,99.7,https://i.ebayimg.com/thumbs/images/g/-ngAAOSwL7xmO6Il/s-l140.jpg,818385
Apple MacBook Pro 2020 A2338 13in M1 8 Core 8GB RAM 256GB SSD Very Good,574.95,98.3,https://i.ebayimg.com/thumbs/images/g/tRYAAOSw1iBk-IXY/s-l140.jpg,855526
Apple 13.3 MacBook Pro 1.4GHz 8GB RAM 512GB SSD Space Gray MXK52LL/A Very Good,554.95,99.4,https://i.ebayimg.com/thumbs/images/g/ar4AAOSwrvhk7hzW/s-l140.jpg,825766
"New ListingApple MacBook Pro 15 A1990 2019 i7 2.9GHz, 16GB RAM, 512GB SSD, Radeon Pro 560X",100.0,99.6,https://i.ebayimg.com/thumbs/images/g/ocEAAOSw8b9mfZ7A/s-l140.jpg,148800
Apple MacBook Pro 13 2015 | 2.9 i5 16GB RAM 256GB SSD Monterey + Warranty + Good,203.0,99.3,https://i.ebayimg.com/thumbs/images/g/7TIAAOSwbG1j9Rkn/s-l140.jpg,302064
"Apple Macbook Pro 15"" Mid 2015 A1398 Retina i7 2.2GHz 16GB 256GB SSD Big Sur",249.0,99.4,https://i.ebayimg.com/thumbs/images/g/qt4AAOSwnnpmVL67/s-l140.jpg,370512
OSX VENTURA 2017 MACBOOK PRO 15 - 2.8GHz i7 - 16GB RAM - 512GB SSD - GRAY,459.99,98.7,https://i.ebayimg.com/thumbs/images/g/APsAAOSwq99mXh8-/s-l140.jpg,684465
"15"" MacBook Pro 2018 2.2 i7 32GB RAM 256GB SSD 555X Sonoma Touch Bar Gray + Good",411.0,99.3,https://i.ebayimg.com/thumbs/images/g/7M0AAOSwIUJifYCB/s-l140.jpg,611568
"Apple MacBook Pro 2017 13"" Touch Bar (A1706) | i7 3.5GHz | 16GB RAM | 512GB SSD",279.99,99.3,https://i.ebayimg.com/thumbs/images/g/fYMAAOSw2-pmaf36/s-l140.jpg,416625
Apple MacBook Pro 13.3 in i5 th Gen 8GB RAM 256GB SSD laptop - Space Grey...,189.74,95.2,https://i.ebayimg.com/thumbs/images/g/sr0AAOSwmllmbqzA/s-l140.jpg,282333
"Apple Macbook Pro 15"""" Early 2013 - i7 QuadCore 2.7GHz 8GB 256GB",45.53,100,https://i.ebayimg.com/thumbs/images/g/Lj4AAOSwNjJmc-UN/s-l140.jpg,67749
Apple Macbook Pro 13 Mid 2012 A1278 I5 2.5GHz 8GB 500GB HDD MD101LL/A H.Sierra,109.0,96.8,https://i.ebayimg.com/thumbs/images/g/j7AAAOSw3oBl5~d1/s-l140.jpg,162192
SONOMA 2018+ Apple MacBook Pro 15 - 32GB 1TB SSD TOUCH BAR 4.8GHz i9 6 CORE,895.0,98.9,https://i.ebayimg.com/thumbs/images/g/1oYAAOSw4qVmfYMn/s-l140.jpg,1331760
"MacBook Pro RETINA 13"" Core i7 TURBO 3.3GHz - 3.5GHz 16GB RAM 512GB  3 YEAR WNTY",299.0,96.7,https://i.ebayimg.com/thumbs/images/g/uKkAAOSw3iZmKFTz/s-l140.jpg,444912
MacBook Pro 15 Touch Bar Space Gray 2018 2.6 GHz i7 16GB 512GB Radeon Pro 560X,285.0,0,https://i.ebayimg.com/thumbs/images/g/ORUAAOSwxZtme7ID/s-l140.jpg,424080
"VENTURA 13"" Apple MACBOOK PRO Space Gray | USBC | 3.6GHz | 256GB | 2017-2020",395.0,99.3,https://i.ebayimg.com/thumbs/images/g/8NYAAOSw-slmfQWK/s-l140.jpg,587760
Apple Macbook Pro 13.3” 2.5GHz intel Core i5 16GB RAM 1TB HDD Turbo🔥,245.0,95.9,https://i.ebayimg.com/thumbs/images/g/7ZYAAOSwZvFmRQja/s-l140.jpg,364560
"MacBook Pro 15-inch (2017) - Intel 2.8GHz Quad Core, 16GB RAM, 256GB SSD - Fair",145.47,100,https://i.ebayimg.com/thumbs/images/g/-18AAOSw-pxmdG3i/s-l140.jpg,216459
"Apple MacBook Pro A2141 2019 16"" 2.4GHz I9-9980HK 32GB RAM 512GB SSD",599.99,99.7,https://i.ebayimg.com/thumbs/images/g/mwoAAOSwpHFmFskD/s-l140.jpg,892785
"New ListingMacBook Pro 13"" A2251 i5-1038NG7 2.00GHZ 16GB RAM 512GB SSD",350.0,100,https://i.ebayimg.com/thumbs/images/g/4eoAAOSwNclmfYRx/s-l140.jpg,520800
Apple MacBook Pro Retina 13 2015 | 3.1 i7 16GB 512GB Monterey + Warranty + Good,279.0,99.3,https://i.ebayimg.com/thumbs/images/g/7TIAAOSwbG1j9Rkn/s-l140.jpg,415152
"MacBook Pro 15 inch 2018, 2.6GHz i7, 32gb Memory, 512gb - Good Condition",430.99,100,https://i.ebayimg.com/thumbs/images/g/TGMAAOSwc39mc0kw/s-l140.jpg,641313
Macbook Pro 2016 13 inch Touch Bar - i7 - 16gb - 1 TB SSD,349.99,0,https://i.ebayimg.com/thumbs/images/g/EYMAAOSw5gplI0~d/s-l140.jpg,520785
